Frequency (GHz)	Re(Eqn(Ef1_T14)) : Output Equations1	Re(Eqn(Ef2_T14)) : Output Equations1	Re(Eqn(Ef3_T14)) : Output Equations1	Re(Eqn(Ef4_T14)) : Output Equations1	Re(Eqn(Ef5_T14)) : Output Equations1	Re(Eqn(Ef6_T14)) : Output Equations1	Re(Eqn(Ef7_T14)) : Output Equations1	Re(Eqn(Ef8_T14)) : Output Equations1	Re(Eqn(Ef9_T14)) : Output Equations1
246	-25.6857	-28.335	-26.1235	-25.5818	-33.7114	-35.2836	-26.4506	-26.6693	-30.3789
247	-25.9759	-28.9833	-26.0805	-25.6064	-34.2504	-36.2706	-28.2697	-27.8028	-29.9871
248	-26.4032	-29.6842	-26.1368	-25.7288	-34.5849	-36.8445	-30.4267	-29.1321	-30.1092
249	-26.9909	-30.4632	-26.293	-25.951	-34.8492	-37.125	-32.8903	-30.5864	-30.7244
250	-27.7486	-31.3447	-26.5453	-26.2717	-35.1566	-37.2955	-35.6408	-32.0687	-31.8244
251	-28.6719	-32.3515	-26.8882	-26.6858	-35.5705	-37.4865	-38.7327	-33.4674	-33.4178
252	-29.7392	-33.5041	-27.3153	-27.1842	-36.1132	-37.7544	-42.3781	-34.6792	-35.5583
253	-30.9064	-34.8204	-27.8201	-27.7542	-36.7813	-38.107	-46.871	-35.6371	-38.4248
254	-32.0978	-36.316	-28.3955	-28.38	-37.5573	-38.5277	-50.5862	-36.3284	-42.5513
255	-33.2013	-38.0061	-29.0335	-29.0433	-38.4155	-38.9915	-48.6145	-36.793	-49.8731
256	-34.0834	-39.9064	-29.7242	-29.7242	-39.3253	-39.4735	-45.4817	-37.1036	-56.4822
257	-34.6412	-42.0334	-30.4561	-30.4026	-40.2528	-39.9537	-43.3765	-37.3386	-46.1826
258	-34.8599	-44.3969	-31.2157	-31.0595	-41.1618	-40.4182	-42.078	-37.5594	-41.7788
259	-34.8152	-46.9714	-31.9883	-31.6793	-42.0153	-40.8585	-41.3189	-37.8014	-39.2653
260	-34.617	-49.6037	-32.7586	-32.2502	-42.7785	-41.2701	-40.9154	-38.0741	-37.6966
261	-34.3571	-51.8279	-33.5111	-32.7658	-43.4219	-41.6499	-40.7335	-38.3658	-36.715
262	-34.0922	-52.9258	-34.2315	-33.2246	-43.9257	-41.9947	-40.6678	-38.6505	-36.1408
263	-33.8496	-52.7898	-34.9071	-33.6292	-44.2812	-42.2999	-40.6375	-38.8961	-35.8657
264	-33.6378	-52.0894	-35.5276	-33.9846	-44.4909	-42.5593	-40.5895	-39.0749	-35.8152
265	-33.4549	-51.358	-36.0857	-34.2974	-44.5648	-42.7652	-40.5016	-39.1733	-35.9331
266	-33.2936	-50.7836	-36.5773	-34.5742	-44.5157	-42.9092	-40.3795	-39.1966	-36.1738
267	-33.1444	-50.3954	-37.0011	-34.8209	-44.3564	-42.983	-40.2458	-39.166	-36.499
268	-32.9971	-50.1755	-37.3583	-35.0427	-44.0982	-42.9796	-40.129	-39.1106	-36.8761
269	-32.8418	-50.0968	-37.6517	-35.2433	-43.752	-42.8944	-40.0542	-39.0593	-37.278
270	-32.6692	-50.1335	-37.8849	-35.4253	-43.3306	-42.7259	-40.0387	-39.0346	-37.684
271	-32.4711	-50.263	-38.0611	-35.5902	-42.85	-42.4773	-40.0912	-39.0501	-38.0804
272	-32.2408	-50.4651	-38.1832	-35.7382	-42.3297	-42.157	-40.2115	-39.1098	-38.4615
273	-31.9732	-50.7202	-38.2531	-35.8685	-41.7909	-41.7781	-40.3917	-39.2095	-38.8312
274	-31.6647	-51.007	-38.2719	-35.9791	-41.2546	-41.3585	-40.6176	-39.3381	-39.2037
275	-31.314	-51.2978	-38.2398	-36.0667	-40.7398	-40.9186	-40.8723	-39.4812	-39.604
276	-30.9213	-51.5529	-38.157	-36.1268	-40.2631	-40.4798	-41.1412	-39.6243	-40.0683
277	-30.4891	-51.7135	-38.0241	-36.1541	-39.8387	-40.0631	-41.4193	-39.7585	-40.6435
278	-30.0211	-51.6997	-37.8424	-36.1423	-39.4789	-39.6877	-41.7177	-39.8831	-41.3879
279	-29.523	-51.4235	-37.6143	-36.0848	-39.1946	-39.3708	-42.067	-40.0063	-42.374
280	-29.0013	-50.8235	-37.3438	-35.9754	-38.9955	-39.128	-42.5188	-40.1417	-43.6986
281	-28.4635	-49.9013	-37.0357	-35.809	-38.8907	-38.9732	-43.146	-40.3006	-45.5068
282	-27.9178	-48.7251	-36.6957	-35.583	-38.8886	-38.9193	-44.0472	-40.4831	-48.0552
283	-27.3725	-47.3939	-36.3293	-35.2973	-38.9966	-38.9784	-45.3612	-40.6703	-51.8946
284	-26.8363	-45.9993	-35.9421	-34.9549	-39.2204	-39.1615	-47.2888	-40.8233	-58.1248
285	-26.3178	-44.6071	-35.5387	-34.5622	-39.5635	-39.478	-50.038	-40.892	-58.3808
286	-25.8256	-43.2571	-35.1229	-34.1281	-40.024	-39.9326	-52.7303	-40.834	-51.8672
287	-25.3684	-41.97	-34.6979	-33.6631	-40.591	-40.5209	-51.0939	-40.6298	-47.7308
288	-24.9547	-40.7533	-34.2667	-33.1792	-41.2359	-41.2183	-47.0185	-40.2812	-44.8853
289	-24.5932	-39.6067	-33.8324	-32.6881	-41.8999	-41.9631	-43.6217	-39.7984	-42.7875
290	-24.2929	-38.5255	-33.3989	-32.2015	-42.481	-42.6349	-41.0188	-39.1937	-41.2288
291	-24.0632	-37.5034	-32.9705	-31.7298	-42.838	-43.0585	-38.9881	-38.4915	-40.1321
292	-23.914	-36.5345	-32.5525	-31.2821	-42.8432	-43.0795	-37.3716	-37.7432	-39.468
293	-23.8562	-35.6147	-32.1505	-30.8659	-42.4705	-42.6868	-36.0762	-37.0267	-39.209
294	-23.9014	-34.7426	-31.7698	-30.4872	-41.8251	-42.0343	-35.0526	-36.4242	-39.2994
295	-24.0626	-33.9192	-31.4156	-30.1505	-41.0718	-41.332	-34.2719	-35.9875	-39.6421
296	-24.3543	-33.1479	-31.0922	-29.8593	-40.349	-40.7536	-33.6964	-35.7085	-40.126
297	-24.7928	-32.4322	-30.8039	-29.6172	-39.7306	-40.4182	-33.2557	-35.5178	-40.7221
298	-25.3969	-31.7752	-30.5543	-29.4283	-39.2223	-40.4013	-32.8603	-35.3438	-41.62
299	-26.1883	-31.1776	-30.3475	-29.2982	-38.7663	-40.7319	-32.4856	-35.2147	-43.3037
300	-27.1928	-30.638	-30.1869	-29.2341	-38.2538	-41.3428	-32.239	-35.2993	-46.6122
301	-28.4408	-30.1542	-30.0764	-29.2441	-37.5634	-41.9248	-32.3003	-35.8436	-53.1711
302	-29.9687	-29.7258	-30.0193	-29.3362	-36.6272	-41.7947	-32.8404	-37.1156	-55.7639
303	-31.8165	-29.3584	-30.0192	-29.5174	-35.4786	-40.4549	-34.0284	-39.4121	-49.3705
304	-34.0166	-29.0654	-30.0798	-29.7933	-34.2334	-38.3597	-36.0945	-42.9998	-45.9669
305	-36.5516	-28.8679	-30.2061	-30.1697	-33.0342	-36.2202	-39.4355	-46.582	-43.5492
306	-39.2269	-28.792	-30.405	-30.6534	-32.0153	-34.4039	-44.9586	-45.0682	-41.461
307	-41.4759	-28.8644	-30.6879	-31.2542	-31.2907	-33.0482	-55.068	-41.9682	-39.7099
308	-42.6675	-29.1093	-31.0727	-31.9866	-30.8896	-32.1962	-51.0404	-39.9622	-38.3406
309	-43.0588	-29.5484	-31.5862	-32.8735	-30.7274	-31.7824	-46.2916	-38.9955	-37.3848
310	-43.4004	-30.2049	-32.2627	-33.9537	-30.7136	-31.6573	-44.658	-39.0389	-36.9169
311	-44.0232	-31.1114	-33.1412	-35.2934	-30.7993	-31.706	-45.0813	-40.2472	-36.9393
312	-44.6969	-32.3205	-34.2604	-36.9981	-30.9725	-31.8722	-48.0076	-42.7191	-37.1907
313	-44.7463	-33.9149	-35.6536	-39.2266	-31.2538	-32.1473	-54.1778	-44.964	-37.2287
314	-43.8072	-36.0177	-37.3435	-42.213	-31.6958	-32.5694	-51.0967	-43.2393	-36.942
315	-42.4045	-38.7939	-39.3306	-46.2585	-32.381	-33.2209	-46.2586	-40.5257	-36.6553
316	-41.1595	-42.3447	-41.5522	-50.8251	-33.4145	-34.2177	-44.0702	-38.964	-36.6225
317	-40.3532	-45.6951	-43.7642	-50.6864	-34.91	-35.6819	-43.3793	-38.4015	-36.8467
318	-40.0811	-45.4327	-45.3927	-47.3425	-36.9495	-37.6632	-43.6382	-38.6366	-37.419
319	-40.3897	-42.9823	-45.8975	-44.8742	-39.4458	-39.8698	-44.0579	-39.9389	-38.6787
320	-41.3152	-41.0754	-45.6351	-43.437	-41.7756	-41.2475	-43.1129	-42.9929	-40.9692
321	-42.8105	-40.0901	-45.4872	-42.9173	-42.8221	-41.0672	-41.0346	-47.86	-44.3182
322	-44.3477	-40.0427	-46.1844	-43.3131	-42.7255	-40.3704	-39.5894	-47.2823	-46.641
323	-44.3475	-41.0038	-48.5966	-44.7496	-42.6515	-40.1499	-39.4513	-43.4463	-44.3349
324	-42.354	-43.0094	-55.0631	-47.6933	-43.0595	-40.7438	-40.4051	-40.5917	-40.6059
325	-40.0224	-45.2064	-54.5235	-53.5269	-43.4553	-42.1813	-42.1271	-38.563	-38.1562
326	-38.2306	-44.5032	-46.1149	-55.2826	-42.7733	-43.8011	-44.9734	-38.0276	-37.5072
327	-37.137	-41.597	-41.9583	-48.2226	-41.1678	-43.7309	-46.1881	-39.0116	-38.709
328	-36.7485	-39.1422	-39.68	-44.5215	-39.7368	-42.1254	-44.4994	-40.5064	-41.0609
329	-37.0726	-37.6016	-38.536	-42.7282	-38.9107	-40.7992	-44.5973	-41.5151	-42.8761
330	-38.1548	-36.9927	-38.2639	-42.1807	-38.5829	-40.1594	-46.527	-41.7719	-44.3302
331	-40.0733	-37.382	-38.8605	-42.6842	-38.5963	-39.9865	-47.2997	-41.1307	-44.3029
332	-42.6174	-38.9029	-40.4973	-44.5337	-38.9834	-40.1939	-43.8992	-39.3244	-41.6612
333	-43.542	-41.6961	-43.1724	-48.4758	-39.9315	-40.9807	-39.9794	-37.0795	-38.2784
334	-40.9824	-44.8912	-45.1266	-51.0654	-41.7387	-42.6696	-37.7186	-35.6265	-35.831
335	-38.3507	-43.9131	-43.615	-46.0562	-44.7819	-45.4971	-37.1766	-35.1817	-34.8568
336	-36.5369	-40.4589	-41.1772	-42.287	-48.9637	-48.589	-38.0117	-35.3395	-35.0113
337	-35.646	-38.0152	-39.5738	-40.1836	-49.0643	-47.2712	-39.2998	-36.0358	-36.3856
338	-35.85	-36.9201	-39.1435	-39.339	-44.6529	-43.3503	-39.2731	-37.1771	-39.3437
339	-37.3777	-37.2182	-40.2048	-39.7925	-41.7486	-40.8979	-37.1243	-37.179	-39.6863
340	-40.2787	-39.2079	-43.5179	-41.7393	-40.9131	-40.4646	-35.4681	-36.2566	-36.9704
341	-41.0001	-44.2478	-51.8424	-44.8286	-41.8655	-42.0156	-35.6911	-36.2734	-35.8646
342	-36.6636	-58.4704	-47.073	-43.715	-44.4055	-45.4302	-38.5165	-38.8286	-37.0571
343	-32.7845	-41.7956	-39.5226	-39.0042	-45.4861	-46.3142	-42.0837	-47.6096	-42.7971
344	-30.1145	-35.7675	-35.3548	-35.5423	-40.4441	-40.4497	-35.552	-37.752	-39.5437
345	-28.3207	-32.364	-32.7161	-33.2759	-36.113	-35.9932	-30.4737	-31.2586	-31.8883
346	-27.1623	-30.2776	-31.0602	-31.809	-33.3982	-33.2774	-27.5594	-27.8731	-28.0542
347	-26.4857	-29.0271	-30.1104	-30.9137	-31.755	-31.6923	-25.9908	-26.0579	-26.0769
348	-26.204	-28.3823	-29.6967	-30.4852	-30.7454	-30.7788	-25.4584	-25.3838	-25.3944
349	-26.3018	-28.2548	-29.7876	-30.5036	-30.2141	-30.3882	-25.8362	-25.6585	-25.7945
350	-26.8172	-28.6116	-30.3872	-30.9775	-30.2103	-30.5541	-27.0182	-26.7224	-27.2239
351	-27.8097	-29.4079	-31.4475	-31.8986	-30.8454	-31.3907	-29.1153	-28.7165	-29.9057
352	-29.3397	-30.5762	-32.9114	-33.2922	-32.1987	-32.9811	-32.5159	-31.9513	-34.2956
353	-31.449	-32.0798	-34.8196	-35.2838	-34.2711	-35.3067	-37.301	-36.195	-41.0237
354	-34.1085	-33.9359	-37.2825	-38.0729	-37.0693	-38.3284	-43.1792	-41.0089	-52.4436
355	-37.0364	-36.0913	-40.1425	-41.7941	-40.7776	-42.114	-52.552	-47.6651	-49.7188
356	-39.344	-38.2108	-42.5329	-45.9949	-45.6181	-46.4744	-55.0485	-52.5165	-46.268
357	-40.1658	-39.8407	-43.8487	-48.5849	-50.0857	-49.9499	-48.7222	-49.8594	-46.4712
358	-40.3364	-41.1112	-44.9941	-48.8954	-51.3026	-52.2741	-45.7041	-46.5226	-49.7784
359	-41.1607	-42.5904	-47.0317	-49.3661	-51.8093	-55.0894	-43.3688	-44.1066	-54.6092
